ISO3,NDC_INDC,TYPE_MAIN,TYPE_RECLASS,COVERAGE_SECTORS_NDCS,COVERAGE_SECTORS_CALC,ECONOMY_WIDE,COVERAGE_GASES_NDCS,COVERAGE_GASES_CALC,EMI_POP_GDP,BASEYEAR,INTENSITY_PERCAP_GDP,TARGETS,DECLINE_AFTER_YEAR,ENERGY_NDCS,IPPU_NDCS,AGRICULTURE_NDCS,LULUCF_NDCS,WASTE_NDCS,OTHER_NDCS,ENERGY_CALC,IPPU_CALC,AGRICULTURE_CALC,LULUCF_CALC,WASTE_CALC,OTHER_CALC,CO2_NDCS,CH4_NDCS,N2O_NDCS,HFCS_NDCS,PFCS_NDCS,SF6_NDCS,NF3_NDCS,CO2_CALC,CH4_CALC,N2O_CALC,HFCS_CALC,PFCS_CALC,SF6_CALC,NF3_CALC,ABS,RBY,RBU,ABU,REI,AEI
ATA,,,,,,,,,,,,,,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,,,
ATG,NDC,NGT,NGT,"{""YES"": [""Energy"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""IPPU"", ""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS""], ""NAN"": [""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS""], ""NO"": [""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""inclLU"": {""2006"": ""0.9455 MtCO2eq_SAR""}}}",,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,NAN,NAN,YES,YES,YES,YES,NO,NO,NO,,,,,,
AUS,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,2005,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""worst"": {""2030"": ""-26%""}, ""best"": {""2030"": ""-28%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""worst"": {""2030"": ""-26%""}, ""best"": {""2030"": ""-28%""}}}}}",,,,
AUT,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}}",,,,
AZE,NDC,RBY,ABS,"{""YES"": [""Energy"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""IPPU"", ""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS""], ""NAN"": [""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"":  {""exclLU"": {""1990"": ""73.331 MtCO2eq_SAR""}, ""inclLU"": {""1990"": ""69.641 MtCO2eq_SAR""}, ""onlyLU"": {""1990"": ""-3.69 MtCO2eq_SAR""}}}",1990,nan,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""47.665 MtCO2eq_SAR""}}}, ""inclLU"": {""unconditional"": {""best"": {""2030"": ""45.267 MtCO2eq_SAR""}}}}, ""RBY"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-35%""}}}, ""inclLU"": {""unconditional"": {""best"": {""2030"": ""-35%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,NAN,YES,YES,YES,YES,YES,YES,YES,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""47.665 MtCO2eq_SAR""}}}, ""inclLU"": {""unconditional"": {""best"": {""2030"": ""45.267 MtCO2eq_SAR""}}}}}","{""RBY"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-35%""}}}, ""inclLU"": {""unconditional"": {""best"": {""2030"": ""-35%""}}}}}",,,,
BDI,NDC,RBU,ABS,"{""YES"": [""Energy"", ""Agriculture"", ""LULUCF""], ""NAN"": [""IPPU"", ""Waste"", ""Other""]}","{""YES"": [""Energy"", ""Agriculture"", ""LULUCF""], ""NO"": [""IPPU"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""inclLU"": {""2020"": ""45 MtCO2eq_SAR"", ""2025"": ""58.218 MtCO2eq_SAR"", ""2030"": ""74.485 MtCO2eq_SAR""}}}",,nan,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""57.054 MtCO2eq_SAR"", ""2030"": ""72.250 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""48.321 MtCO2eq_SAR"", ""2030"": ""59.588 MtCO2eq_SAR""}}}}, ""RBY"": NaN, ""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-2%"", ""2030"": ""-3%""}}, ""conditional"": {""best"": {""2025"": ""-17%"", ""2030"": ""-20%""}}}}, ""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-1.164 MtCO2eq_SAR"", ""2030"": ""-2.235 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""-9.897 MtCO2eq_SAR"", ""2030"": ""-14.897 MtCO2eq_SAR""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,YES,YES,NAN,NAN,YES,NO,YES,YES,NO,NO,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""57.054 MtCO2eq_SAR"", ""2030"": ""72.250 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""48.321 MtCO2eq_SAR"", ""2030"": ""59.588 MtCO2eq_SAR""}}}}}",,"{""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-2%"", ""2030"": ""-3%""}}, ""conditional"": {""best"": {""2025"": ""-17%"", ""2030"": ""-20%""}}}}}","{""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-1.164 MtCO2eq_SAR"", ""2030"": ""-2.235 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""-9.897 MtCO2eq_SAR"", ""2030"": ""-14.897 MtCO2eq_SAR""}}}}}",,
BEL,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}}",,,,
BEN,NDC,NGT,ABS,"{""YES"": [""Energy"", ""Agriculture"", ""LULUCF""], ""NAN"": [""IPPU"", ""Waste"", ""Other""]}","{""YES"": [""Energy"", ""Agriculture"", ""LULUCF""], ""NO"": [""IPPU"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""exclLU"": {""2030"": ""38.5 MtCO2eq""}}}",,nan,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""37 MtCO2eq""}}, ""conditional"": {""best"": {""2030"": ""32.5 MtCO2eq""}}}}, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,YES,YES,NAN,NAN,YES,NO,YES,YES,NO,NO,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""37 MtCO2eq""}}, ""conditional"": {""best"": {""2030"": ""32.5 MtCO2eq""}}}}}",,,,,
BES,,,,,,,,,,,,,,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,,,
BFA,NDC,RBU,ABS,"{""YES"": [""Energy"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""IPPU"", ""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""inclLU"": {""2020"": ""92.062 MtCO2eq"", ""2025"": ""105.316 MtCO2eq"", ""2030"": ""118.323 MtCO2eq""}}}",,nan,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""98.708 MtCO2eq"", ""2030"": ""110.515 MtCO2eq""}}, ""conditional"": {""best"": { ""2025"": ""86.879 MtCO2eq"", ""2030"": ""96.749 MtCO2eq""}}}}, ""RBY"": NaN, ""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-6.27%"", ""2030"": ""-6.6%""}}, ""conditional"": {""best"": {""2025"": ""-17.47%"", ""2030"": ""-18.2%""}}}}, ""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-6.608 MtCO2eq"", ""2030"": ""-7.8083 MtCO2eq""}}, ""conditional"": {""best"": {""2025"": ""-18.437 MtCO2eq"", ""2030"": ""-21.57463 MtCO2eq""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,YES,YES,YES,YES,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""98.708 MtCO2eq"", ""2030"": ""110.515 MtCO2eq""}}, ""conditional"": {""best"": {""2025"": ""86.879 MtCO2eq"", ""2030"": ""96.749 MtCO2eq""}}}}}",,"{""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-6.27%"", ""2030"": ""-6.6%""}}, ""conditional"": {""best"": {""2025"": ""-17.47%"", ""2030"": ""-18.2%""}}}}}","{""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-6.608 MtCO2eq"", ""2030"": ""-7.8083 MtCO2eq""}}, ""conditional"": {""best"": {""2025"": ""-18.437 MtCO2eq"", ""2030"": ""-21.57463 MtCO2eq""}}}}}",,
BGD,NDC,RBU,ABS,"{""YES"": [""Energy"", ""IPPU""], ""NO"": [""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU""], ""NO"": [""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6""], ""NAN"": [""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6""], ""NO"": [""NF3""]}","{""EMI"": {""exclLU"": {""2011"": ""64 MtCO2eq_SAR"", ""2030"": ""339.130 MtCO2eq_SAR""}}}",,nan,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""327.130 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""303.130 MtCO2eq_SAR""}}}}, ""RBY"": NaN, ""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-5%""}}, ""conditional"": {""best"": {""2030"": ""-15%""}}}}, ""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-12 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""-36 MtCO2eq_SAR""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,NO,NO,NO,NAN,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,NO,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""327.130 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""303.130 MtCO2eq_SAR""}}}}}",,"{""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-5%""}}, ""conditional"": {""best"": {""2030"": ""-15%""}}}}}","{""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-12 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""-36 MtCO2eq_SAR""}}}}}",,
BGR,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}}",,,,
BHR,NDC,NGT,NGT,"{""YES"": [""Energy""], ""NAN"": [""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}","{""YES"": [""Energy""], ""NO"": [""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""NAN"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,NAN,NAN,NAN,NAN,YES,NO,NO,NO,NO,NO,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,,,,,,
BHS,NDC,RBU,RBU,"{""YES"": [""Energy"", ""LULUCF""], ""NAN"": [""IPPU"", ""Agriculture"", ""Waste"", ""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""-30%""}}}}, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,NAN,YES,NAN,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,,,"{""RBU"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""-30%""}}}}}",,,
BIH,NDC,RBU,ABS,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""exclLU"": {""1990"": ""34.04349 MtCO2eq"", ""2020"": ""34.04349 MtCO2eq"", ""2030"": ""40.852188 MtCO2eq""}, ""inclLU"": {""1990"": ""26.61996 MtCO2eq"", ""2020"": ""27.573490 MtCO2eq"", ""2030"": ""34.382188 MtCO2eq""}, ""onlyLU"": {""1990"": ""-7.42353 MtCO2eq"", ""2015"": ""-6.470 MtCO2eq"", ""2020"": ""-6.470 MtCO2eq"", ""2030"": ""-6.470 MtCO2eq""}}}",1990,nan,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""32.748 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""25.599 MtCO2eq_SAR""}}}}, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""+18%""}}, ""conditional"": {""best"": {""2030"": ""-3%""}}}}, ""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-2%""}}, ""conditional"": {""best"": {""2030"": ""-23%""}}}}, ""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-1.634 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""-8.783 MtCO2eq_SAR""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""32.748 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""25.599 MtCO2eq_SAR""}}}}}","{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""+18%""}}, ""conditional"": {""best"": {""2030"": ""-3%""}}}}}","{""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-2%""}}, ""conditional"": {""best"": {""2030"": ""-23%""}}}}}","{""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-1.634 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""-8.783 MtCO2eq_SAR""}}}}}",,
BLR,NDC,RBY,ABS,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""Waste""], ""NO"": [""LULUCF""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""Waste"", ""Other""], ""NO"": [""LULUCF""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6""], ""NAN"": [""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6""], ""NO"": [""NF3""]}","{""EMI"": {""exclLU"": {""1990"": ""139.15123 MtCO2eq_SAR""}}}",1990,nan,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""100.189 MtCO2eq_SAR""}}}}, ""RBY"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-28%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,NO,YES,NAN,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,NO,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""100.189 MtCO2eq_SAR""}}}}}","{""RBY"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-28%""}}}}}",,,,
BLZ,NDC,NGT,ABU,"{""YES"": [""Energy"", ""LULUCF"", ""Waste""], ""NAN"": [""IPPU"", ""Agriculture"", ""Other""]}","{""YES"": [""Energy"", ""LULUCF"", ""Waste""], ""NO"": [""IPPU"", ""Agriculture"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4""], ""NAN"": [""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4""], ""NO"": [""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""onlyLU"": {""2015"": ""3.350 MtCO2eq_AR4"", ""2030"": ""3.020 MtCO2eq_AR4""}}}",,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": {""inclLU"": {""conditional"": {""worst"": {""2030"": ""-0.7146 MtCO2eq_AR4""}, ""best"": {""2030"": ""-0.7549 MtCO2eq_AR4""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,NAN,YES,YES,NAN,YES,NO,NO,YES,YES,NO,YES,YES,NAN,NAN,NAN,NAN,NAN,YES,YES,NO,NO,NO,NO,NO,,,,"{""ABU"": {""inclLU"": {""conditional"": {""worst"": {""2030"": ""-0.7146 MtCO2eq_AR4""}, ""best"": {""2030"": ""-0.7549 MtCO2eq_AR4""}}}}}",,
BOL,NDC,NGT,NGT,"{""YES"": [""Energy"", ""Agriculture"", ""LULUCF""], ""NAN"": [""IPPU"", ""Waste"", ""Other""]}","{""YES"": [""Energy"", ""Agriculture"", ""LULUCF""], ""NO"": [""IPPU"", ""Waste"", ""Other""]}",nan,"{""NAN"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,2010,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,YES,YES,NAN,NAN,YES,NO,YES,YES,NO,NO,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,,,,,,
BRA,NDC,RBY,ABS,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6""], ""NAN"": [""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6""], ""NO"": [""NF3""]}","{""EMI"": {""onlyLU"": {""1990"": ""797.413 MtCO2eq_AR5"", ""1995"": ""1946.934 MtCO2eq_AR5"", ""2000"": ""1276.260 MtCO2eq_AR5"", ""2005"": ""1921.694 MtCO2eq_AR5"", ""2010"": ""355.002 MtCO2eq_AR5""}, ""inclLU"": {""1990"": ""1410.434 MtCO2eq_AR5"", ""1995"": ""2651.780 MtCO2eq_AR5"", ""2000"": ""2074.399 MtCO2eq_AR5"", ""2005"": ""2837.956 MtCO2eq_AR5"", ""2010"": ""1364.197 MtCO2eq_AR5""}, ""exclLU"": {""1990"": ""613.021 MtCO2eq_AR5"", ""1995"": ""704.846 MtCO2eq_AR5"", ""2000"": ""798.139 MtCO2eq_AR5"", ""2005"": ""916.262 MtCO2eq_AR5"", ""2010"": ""1009.195 MtCO2eq_AR5""}}}",2005,nan,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""1787.912 MtCO2eq_AR5"", ""2030"": ""1617.635 MtCO2eq_AR5""}}}, ""inclLU"": {""unconditional"": {""best"": {""2025"": ""577.245 MtCO2eq_AR5"", ""2030"": ""522.269 MtCO2eq_AR5""}}}}, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-37%"", ""2030"": ""-43%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,NO,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""577.245 MtCO2eq_AR5"", ""2030"": ""522.269 MtCO2eq_AR5""}}}}}","{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-37%"", ""2030"": ""-43%""}}}}}",,,,
