,ssps_filled,lulucf_source
NLD,,CRF2019
NOR,,CRF2019
NPL,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
NRU,"SSP1BLIMAGE for CO2 filled with mean over available SSPs ().
SSP1BLIMAGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CO2 filled with mean over available SSPs ().
SSP2BLMESGB for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CO2 filled with mean over available SSPs ().
SSP3BLAIMCGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CO2 filled with mean over available SSPs ().
SSP4BLGCAM4 for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CO2 filled with mean over available SSPs ().
SSP5BLREMMP for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for CH4 filled with mean over available SSPs ().
SSP1BLIMAGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CH4 filled with mean over available SSPs ().
SSP2BLMESGB for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CH4 filled with mean over available SSPs ().
SSP3BLAIMCGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CH4 filled with mean over available SSPs ().
SSP4BLGCAM4 for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CH4 filled with mean over available SSPs ().
SSP5BLREMMP for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for N2O filled with mean over available SSPs ().
SSP1BLIMAGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for N2O filled with mean over available SSPs ().
SSP2BLMESGB for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for N2O filled with mean over available SSPs ().
SSP3BLAIMCGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for N2O filled with mean over available SSPs ().
SSP4BLGCAM4 for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for N2O filled with mean over available SSPs ().
SSP5BLREMMP for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for KYOTOGHG filled with mean over available SSPs ().
SSP1BLIMAGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for KYOTOGHG filled with mean over available SSPs ().
SSP2BLMESGB for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for KYOTOGHG filled with mean over available SSPs ().
SSP3BLAIMCGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for KYOTOGHG filled with mean over available SSPs ().
SSP4BLGCAM4 for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for KYOTOGHG filled with mean over available SSPs ().
SSP5BLREMMP for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for POP filled with mean over available SSPs ().
SSP1BLIMAGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for POP filled with mean over available SSPs ().
SSP2BLMESGB for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for POP filled with mean over available SSPs ().
SSP3BLAIMCGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for POP filled with mean over available SSPs ().
SSP4BLGCAM4 for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for POP filled with mean over available SSPs ().
SSP5BLREMMP for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for GDPPPP filled with mean over available SSPs ().
SSP1BLIMAGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for GDPPPP filled with mean over available SSPs ().
SSP2BLMESGB for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for GDPPPP filled with mean over available SSPs ().
SSP3BLAIMCGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for GDPPPP filled with mean over available SSPs ().
SSP4BLGCAM4 for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for GDPPPP filled with mean over available SSPs ().
SSP5BLREMMP for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",
NZL,,CRF2019
OMN,,FAO2019BI
PAK,,FAO2019BI
PAN,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
PCN,"SSP1BLIMAGE for CO2 filled with mean over available SSPs ().
SSP1BLIMAGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CO2 filled with mean over available SSPs ().
SSP2BLMESGB for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CO2 filled with mean over available SSPs ().
SSP3BLAIMCGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CO2 filled with mean over available SSPs ().
SSP4BLGCAM4 for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CO2 filled with mean over available SSPs ().
SSP5BLREMMP for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for CH4 filled with mean over available SSPs ().
SSP1BLIMAGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CH4 filled with mean over available SSPs ().
SSP2BLMESGB for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CH4 filled with mean over available SSPs ().
SSP3BLAIMCGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CH4 filled with mean over available SSPs ().
SSP4BLGCAM4 for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CH4 filled with mean over available SSPs ().
SSP5BLREMMP for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for N2O filled with mean over available SSPs ().
SSP1BLIMAGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for N2O filled with mean over available SSPs ().
SSP2BLMESGB for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for N2O filled with mean over available SSPs ().
SSP3BLAIMCGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for N2O filled with mean over available SSPs ().
SSP4BLGCAM4 for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for N2O filled with mean over available SSPs ().
SSP5BLREMMP for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for KYOTOGHG filled with mean over available SSPs ().
SSP1BLIMAGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for KYOTOGHG filled with mean over available SSPs ().
SSP2BLMESGB for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for KYOTOGHG filled with mean over available SSPs ().
SSP3BLAIMCGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for KYOTOGHG filled with mean over available SSPs ().
SSP4BLGCAM4 for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for KYOTOGHG filled with mean over available SSPs ().
SSP5BLREMMP for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for POP filled with mean over available SSPs ().
SSP1BLIMAGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for POP filled with mean over available SSPs ().
SSP2BLMESGB for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for POP filled with mean over available SSPs ().
SSP3BLAIMCGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for POP filled with mean over available SSPs ().
SSP4BLGCAM4 for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for POP filled with mean over available SSPs ().
SSP5BLREMMP for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for GDPPPP filled with mean over available SSPs ().
SSP1BLIMAGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for GDPPPP filled with mean over available SSPs ().
SSP2BLMESGB for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for GDPPPP filled with mean over available SSPs ().
SSP3BLAIMCGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for GDPPPP filled with mean over available SSPs ().
SSP4BLGCAM4 for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for GDPPPP filled with mean over available SSPs ().
SSP5BLREMMP for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
PER,,UNFCCC2019BI
PHL,,FAO2019BI
PLW,"SSP1BLIMAGE for CO2 filled with mean over available SSPs ().
SSP1BLIMAGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CO2 filled with mean over available SSPs ().
SSP2BLMESGB for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CO2 filled with mean over available SSPs ().
SSP3BLAIMCGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CO2 filled with mean over available SSPs ().
SSP4BLGCAM4 for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CO2 filled with mean over available SSPs ().
SSP5BLREMMP for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for CH4 filled with mean over available SSPs ().
SSP1BLIMAGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CH4 filled with mean over available SSPs ().
SSP2BLMESGB for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CH4 filled with mean over available SSPs ().
SSP3BLAIMCGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CH4 filled with mean over available SSPs ().
SSP4BLGCAM4 for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CH4 filled with mean over available SSPs ().
SSP5BLREMMP for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for N2O filled with mean over available SSPs ().
SSP1BLIMAGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for N2O filled with mean over available SSPs ().
SSP2BLMESGB for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for N2O filled with mean over available SSPs ().
SSP3BLAIMCGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for N2O filled with mean over available SSPs ().
SSP4BLGCAM4 for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for N2O filled with mean over available SSPs ().
SSP5BLREMMP for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for KYOTOGHG filled with mean over available SSPs ().
SSP1BLIMAGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for KYOTOGHG filled with mean over available SSPs ().
SSP2BLMESGB for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for KYOTOGHG filled with mean over available SSPs ().
SSP3BLAIMCGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for KYOTOGHG filled with mean over available SSPs ().
SSP4BLGCAM4 for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for KYOTOGHG filled with mean over available SSPs ().
SSP5BLREMMP for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for POP filled with mean over available SSPs ().
SSP1BLIMAGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for POP filled with mean over available SSPs ().
SSP2BLMESGB for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for POP filled with mean over available SSPs ().
SSP3BLAIMCGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for POP filled with mean over available SSPs ().
SSP4BLGCAM4 for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for POP filled with mean over available SSPs ().
SSP5BLREMMP for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for GDPPPP filled with mean over available SSPs ().
SSP1BLIMAGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for GDPPPP filled with mean over available SSPs ().
SSP2BLMESGB for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for GDPPPP filled with mean over available SSPs ().
SSP3BLAIMCGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for GDPPPP filled with mean over available SSPs ().
SSP4BLGCAM4 for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for GDPPPP filled with mean over available SSPs ().
SSP5BLREMMP for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
PNG,,FAO2019BI
POL,,CRF2019
PRK,"SSP1BLIMAGE for CO2 filled with mean over available SSPs ().
SSP1BLIMAGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CO2 filled with mean over available SSPs ().
SSP2BLMESGB for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CO2 filled with mean over available SSPs ().
SSP3BLAIMCGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CO2 filled with mean over available SSPs ().
SSP4BLGCAM4 for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CO2 filled with mean over available SSPs ().
SSP5BLREMMP for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for CH4 filled with mean over available SSPs ().
SSP1BLIMAGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CH4 filled with mean over available SSPs ().
SSP2BLMESGB for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CH4 filled with mean over available SSPs ().
SSP3BLAIMCGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CH4 filled with mean over available SSPs ().
SSP4BLGCAM4 for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CH4 filled with mean over available SSPs ().
SSP5BLREMMP for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for N2O filled with mean over available SSPs ().
SSP1BLIMAGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for N2O filled with mean over available SSPs ().
SSP2BLMESGB for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for N2O filled with mean over available SSPs ().
SSP3BLAIMCGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for N2O filled with mean over available SSPs ().
SSP4BLGCAM4 for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for N2O filled with mean over available SSPs ().
SSP5BLREMMP for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for KYOTOGHG filled with mean over available SSPs ().
SSP1BLIMAGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for KYOTOGHG filled with mean over available SSPs ().
SSP2BLMESGB for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for KYOTOGHG filled with mean over available SSPs ().
SSP3BLAIMCGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for KYOTOGHG filled with mean over available SSPs ().
SSP4BLGCAM4 for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for KYOTOGHG filled with mean over available SSPs ().
SSP5BLREMMP for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for GDPPPP filled with mean over available SSPs ().
SSP1BLIMAGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for GDPPPP filled with mean over available SSPs ().
SSP2BLMESGB for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for GDPPPP filled with mean over available SSPs ().
SSP3BLAIMCGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for GDPPPP filled with mean over available SSPs ().
SSP4BLGCAM4 for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for GDPPPP filled with mean over available SSPs ().
SSP5BLREMMP for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",UNFCCC2019BI
PRT,,CRF2019
PRY,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",UNFCCC2019BI
QAT,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",
ROU,,CRF2019
RUS,,CRF2019
RWA,,FAO2019BI
SAU,,UNFCCC2019BI
SDN,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
SEN,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
SGP,,FAO2019BI
