,NDC,coverage,all_gases_covered,all_sectors_covered,everything_covered,nothing_covered,pccov_fut_SSP1,pccov_fut_method_SSP1,pccov_fut_SSP2,pccov_fut_method_SSP2,pccov_fut_SSP3,pccov_fut_method_SSP3,pccov_fut_SSP4,pccov_fut_method_SSP4,pccov_fut_SSP5,pccov_fut_method_SSP5
CUB,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation
CUW,NO,,NO,NO,NO,YES,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%
CYP,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
CZE,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
DEU,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
DJI,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
DMA,YES,IPPU set to covered (as some F-gas is covered). ,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.97) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.97) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.97) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.97) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.97) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
DNK,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
DOM,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
DZA,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
ECU,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
EGY,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
ERI,YES,,NO,NO,NO,NO,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
ESP,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
EST,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
ETH,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
FIN,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
FJI,YES,,NO,NO,NO,NO,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.91) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.91) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.91) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.91) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.91) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
FRA,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
FSM,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
GAB,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
GBR,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
GEO,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
GHA,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
GIN,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation
GMB,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
GNB,YES,,NO,NO,NO,NO,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.97) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.97) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.97) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.97) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and eminotcov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.97) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
GNQ,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
GRC,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
GRD,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
GTM,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
GUY,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.87) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.87) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.87) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.87) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.87) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
HKG,NO,,NO,NO,NO,YES,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%
HND,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
HRV,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
HTI,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
As there were pccov_fut greater than 90%, while in 2010 to 2017 no values were greater than 90%, they were set to 90% (2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050).
",Correlation
HUN,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
IDN,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
IND,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (1.00) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
IOT,NO,,NO,NO,NO,YES,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%,None of the sectors and gases are covered and pccov_fut is set to 0 (0%).,SetTo0%
IRL,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
IRN,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
IRQ,YES,OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
ISL,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
ISR,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
ITA,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
JAM,YES,,NO,NO,NO,NO,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation,"The correlation between emitot_his and emicov_his (for 2010 to 2017 is calculated.
As the rvalue of the correlation (0.99) is larger than 0.85, the emicov for future years are calculated from the correlation.
",Correlation
JOR,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,NO,YES,NO,NO,test,GasShare,test,GasShare,test,GasShare,test,GasShare,test,GasShare
JPN,YES,IPPU set to covered (as some F-gas is covered). OTHER set to covered (as all remaining main sectors - excluding LULUCF - are covered). ,YES,YES,YES,NO,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%,All sectors and gases are covered and pccov_fut is set to 1 (100%).,SetTo100%
